PDBbind_type	BindingDB_type	match_type	validity	n_comparisons	n_conflicts	conflict_rate
IC50	IC50	SAME	VALID	2122	529	24.929311969839773
Kd	Kd	SAME	VALID	913	235	25.739320920043813
Ki	Ki	SAME	VALID	875	240	27.428571428571427
IC50	Kd	DIFF	INVALID	296	162	54.729729729729726
Kd	IC50	DIFF	INVALID	283	121	42.75618374558304
IC50	Ki	DIFF	INVALID	248	123	49.596774193548384
Kd	Ki	DIFF	INVALID	177	100	56.49717514124294
Ki	Kd	DIFF	INVALID	171	93	54.3859649122807
Ki	IC50	DIFF	INVALID	162	84	51.851851851851855
Unknown	IC50	DIFF	INVALID	72	18	25.0
Unknown	Kd	DIFF	INVALID	42	7	16.666666666666668
Unknown	Ki	DIFF	INVALID	36	17	47.22222222222222
Kd	EC50	DIFF	INVALID	21	11	52.38095238095238
IC50	EC50	DIFF	INVALID	15	4	26.666666666666668
Ki	EC50	DIFF	INVALID	3	2	66.66666666666667
Unknown	EC50	DIFF	INVALID	2	1	50.0
